"openml_id" "frac" "row_id" "fold"
40981 0.05 1 1
40981 0.05 4 1
40981 0.05 7 1
40981 0.05 9 1
40981 0.05 15 1
40981 0.05 19 1
40981 0.05 20 1
40981 0.05 21 1
40981 0.05 26 1
40981 0.05 28 1
40981 0.05 32 1
40981 0.05 44 1
40981 0.05 45 1
40981 0.05 46 1
40981 0.05 59 1
40981 0.05 66 1
40981 0.05 73 1
40981 0.05 83 1
40981 0.05 96 1
40981 0.05 100 1
40981 0.05 103 1
40981 0.05 111 1
40981 0.05 112 1
40981 0.05 118 1
40981 0.05 127 1
40981 0.05 139 1
40981 0.05 145 1
40981 0.05 150 1
40981 0.05 156 1
40981 0.05 158 1
40981 0.05 185 1
40981 0.05 191 1
40981 0.05 192 1
40981 0.05 193 1
40981 0.05 194 1
40981 0.05 197 1
40981 0.05 207 1
40981 0.05 211 1
40981 0.05 222 1
40981 0.05 237 1
40981 0.05 238 1
40981 0.05 246 1
40981 0.05 247 1
40981 0.05 262 1
40981 0.05 268 1
40981 0.05 270 1
40981 0.05 272 1
40981 0.05 277 1
40981 0.05 288 1
40981 0.05 291 1
40981 0.05 292 1
40981 0.05 300 1
40981 0.05 304 1
40981 0.05 305 1
40981 0.05 307 1
40981 0.05 308 1
40981 0.05 319 1
40981 0.05 320 1
40981 0.05 322 1
40981 0.05 326 1
40981 0.05 331 1
40981 0.05 337 1
40981 0.05 343 1
40981 0.05 344 1
40981 0.05 350 1
40981 0.05 356 1
40981 0.05 358 1
40981 0.05 359 1
40981 0.05 384 1
40981 0.05 389 1
40981 0.05 395 1
40981 0.05 399 1
40981 0.05 404 1
40981 0.05 405 1
40981 0.05 410 1
40981 0.05 415 1
40981 0.05 420 1
40981 0.05 422 1
40981 0.05 425 1
40981 0.05 436 1
40981 0.05 437 1
40981 0.05 438 1
40981 0.05 441 1
40981 0.05 442 1
40981 0.05 443 1
40981 0.05 449 1
40981 0.05 451 1
40981 0.05 453 1
40981 0.05 454 1
40981 0.05 455 1
40981 0.05 459 1
40981 0.05 464 1
40981 0.05 466 1
40981 0.05 467 1
40981 0.05 468 1
40981 0.05 471 1
40981 0.05 484 1
40981 0.05 491 1
40981 0.05 493 1
40981 0.05 495 1
40981 0.05 498 1
40981 0.05 500 1
40981 0.05 504 1
40981 0.05 509 1
40981 0.05 510 1
40981 0.05 515 1
40981 0.05 521 1
40981 0.05 527 1
40981 0.05 530 1
40981 0.05 532 1
40981 0.05 537 1
40981 0.05 550 1
40981 0.05 551 1
40981 0.05 553 1
40981 0.05 558 1
40981 0.05 572 1
40981 0.05 576 1
40981 0.05 594 1
40981 0.05 599 1
40981 0.05 604 1
40981 0.05 615 1
40981 0.05 624 1
40981 0.05 626 1
40981 0.05 634 1
40981 0.05 636 1
40981 0.05 638 1
40981 0.05 643 1
40981 0.05 645 1
40981 0.05 648 1
40981 0.05 649 1
40981 0.05 650 1
40981 0.05 655 1
40981 0.05 660 1
40981 0.05 668 1
40981 0.05 673 1
40981 0.05 679 1
40981 0.05 680 1
40981 0.05 687 1
40981 0.05 11 2
40981 0.05 12 2
40981 0.05 33 2
40981 0.05 34 2
40981 0.05 40 2
40981 0.05 42 2
40981 0.05 58 2
40981 0.05 60 2
40981 0.05 70 2
40981 0.05 72 2
40981 0.05 76 2
40981 0.05 79 2
40981 0.05 84 2
40981 0.05 85 2
40981 0.05 87 2
40981 0.05 93 2
40981 0.05 97 2
40981 0.05 105 2
40981 0.05 106 2
40981 0.05 107 2
40981 0.05 123 2
40981 0.05 125 2
40981 0.05 134 2
40981 0.05 135 2
40981 0.05 137 2
40981 0.05 147 2
40981 0.05 151 2
40981 0.05 159 2
40981 0.05 160 2
40981 0.05 172 2
40981 0.05 173 2
40981 0.05 180 2
40981 0.05 182 2
40981 0.05 183 2
40981 0.05 184 2
40981 0.05 189 2
40981 0.05 190 2
40981 0.05 195 2
40981 0.05 198 2
40981 0.05 202 2
40981 0.05 203 2
40981 0.05 204 2
40981 0.05 213 2
40981 0.05 228 2
40981 0.05 229 2
40981 0.05 235 2
40981 0.05 243 2
40981 0.05 245 2
40981 0.05 252 2
40981 0.05 253 2
40981 0.05 254 2
40981 0.05 255 2
40981 0.05 257 2
40981 0.05 260 2
40981 0.05 264 2
40981 0.05 265 2
40981 0.05 271 2
40981 0.05 274 2
40981 0.05 275 2
40981 0.05 279 2
40981 0.05 282 2
40981 0.05 284 2
40981 0.05 286 2
40981 0.05 287 2
40981 0.05 289 2
40981 0.05 290 2
40981 0.05 294 2
40981 0.05 309 2
40981 0.05 310 2
40981 0.05 316 2
40981 0.05 317 2
40981 0.05 323 2
40981 0.05 334 2
40981 0.05 335 2
40981 0.05 339 2
40981 0.05 348 2
40981 0.05 352 2
40981 0.05 362 2
40981 0.05 366 2
40981 0.05 368 2
40981 0.05 376 2
40981 0.05 379 2
40981 0.05 386 2
40981 0.05 390 2
40981 0.05 391 2
40981 0.05 392 2
40981 0.05 396 2
40981 0.05 402 2
40981 0.05 407 2
40981 0.05 408 2
40981 0.05 416 2
40981 0.05 419 2
40981 0.05 424 2
40981 0.05 428 2
40981 0.05 434 2
40981 0.05 445 2
40981 0.05 446 2
40981 0.05 452 2
40981 0.05 457 2
40981 0.05 470 2
40981 0.05 478 2
40981 0.05 480 2
40981 0.05 489 2
40981 0.05 512 2
40981 0.05 522 2
40981 0.05 529 2
40981 0.05 538 2
40981 0.05 539 2
40981 0.05 540 2
40981 0.05 545 2
40981 0.05 546 2
40981 0.05 554 2
40981 0.05 559 2
40981 0.05 567 2
40981 0.05 568 2
40981 0.05 569 2
40981 0.05 579 2
40981 0.05 580 2
40981 0.05 588 2
40981 0.05 593 2
40981 0.05 617 2
40981 0.05 619 2
40981 0.05 623 2
40981 0.05 629 2
40981 0.05 632 2
40981 0.05 635 2
40981 0.05 637 2
40981 0.05 639 2
40981 0.05 652 2
40981 0.05 653 2
40981 0.05 657 2
40981 0.05 662 2
40981 0.05 664 2
40981 0.05 675 2
40981 0.05 676 2
40981 0.05 678 2
40981 0.05 681 2
40981 0.05 683 2
40981 0.05 2 3
40981 0.05 3 3
40981 0.05 5 3
40981 0.05 6 3
40981 0.05 22 3
