"openml_id" "row_id" "fold"
40981 4 1
40981 20 1
40981 24 1
40981 32 1
40981 34 1
40981 39 1
40981 45 1
40981 50 1
40981 51 1
40981 52 1
40981 53 1
40981 54 1
40981 63 1
40981 68 1
40981 72 1
40981 87 1
40981 94 1
40981 99 1
40981 113 1
40981 118 1
40981 120 1
40981 129 1
40981 133 1
40981 138 1
40981 139 1
40981 144 1
40981 146 1
40981 147 1
40981 161 1
40981 167 1
40981 169 1
40981 182 1
40981 184 1
40981 185 1
40981 192 1
40981 200 1
40981 202 1
40981 205 1
40981 206 1
40981 210 1
40981 214 1
40981 222 1
40981 225 1
40981 228 1
40981 230 1
40981 240 1
40981 242 1
40981 244 1
40981 256 1
40981 258 1
40981 259 1
40981 260 1
40981 261 1
40981 265 1
40981 267 1
40981 269 1
40981 273 1
40981 278 1
40981 280 1
40981 281 1
40981 284 1
40981 295 1
40981 309 1
40981 311 1
40981 318 1
40981 323 1
40981 325 1
40981 326 1
40981 328 1
40981 337 1
40981 341 1
40981 349 1
40981 370 1
40981 371 1
40981 372 1
40981 390 1
40981 395 1
40981 399 1
40981 402 1
40981 403 1
40981 414 1
40981 417 1
40981 420 1
40981 437 1
40981 439 1
40981 440 1
40981 443 1
40981 453 1
40981 456 1
40981 463 1
40981 468 1
40981 469 1
40981 473 1
40981 474 1
40981 475 1
40981 481 1
40981 493 1
40981 496 1
40981 517 1
40981 519 1
40981 521 1
40981 525 1
40981 528 1
40981 532 1
40981 535 1
40981 536 1
40981 539 1
40981 550 1
40981 557 1
40981 559 1
40981 560 1
40981 569 1
40981 578 1
40981 580 1
40981 582 1
40981 584 1
40981 586 1
40981 588 1
40981 591 1
40981 593 1
40981 604 1
40981 606 1
40981 616 1
40981 621 1
40981 622 1
40981 623 1
40981 624 1
40981 627 1
40981 631 1
40981 634 1
40981 643 1
40981 645 1
40981 650 1
40981 653 1
40981 672 1
40981 676 1
40981 680 1
40981 685 1
40981 2 2
40981 5 2
40981 8 2
40981 10 2
40981 13 2
40981 22 2
40981 27 2
40981 30 2
40981 36 2
40981 38 2
40981 42 2
40981 44 2
40981 48 2
40981 49 2
40981 61 2
40981 74 2
40981 75 2
40981 79 2
40981 88 2
40981 90 2
40981 93 2
40981 108 2
40981 123 2
40981 140 2
40981 143 2
40981 145 2
40981 149 2
40981 158 2
40981 165 2
40981 166 2
40981 171 2
40981 173 2
40981 174 2
40981 178 2
40981 186 2
40981 193 2
40981 198 2
40981 199 2
40981 203 2
40981 207 2
40981 212 2
40981 213 2
40981 217 2
40981 218 2
40981 232 2
40981 238 2
40981 253 2
40981 262 2
40981 266 2
40981 274 2
40981 283 2
40981 291 2
40981 294 2
40981 301 2
40981 305 2
40981 315 2
40981 324 2
40981 331 2
40981 333 2
40981 335 2
40981 339 2
40981 342 2
40981 343 2
40981 350 2
40981 352 2
40981 355 2
40981 357 2
40981 364 2
40981 369 2
40981 377 2
40981 379 2
40981 380 2
40981 383 2
40981 386 2
40981 388 2
40981 389 2
40981 393 2
40981 394 2
40981 407 2
40981 408 2
40981 409 2
40981 411 2
40981 416 2
40981 422 2
40981 424 2
40981 425 2
40981 427 2
40981 434 2
40981 435 2
40981 436 2
40981 438 2
40981 452 2
40981 459 2
40981 467 2
40981 479 2
40981 484 2
40981 487 2
40981 490 2
40981 495 2
40981 497 2
40981 498 2
40981 499 2
40981 509 2
40981 512 2
40981 515 2
40981 518 2
40981 534 2
40981 540 2
40981 544 2
40981 548 2
40981 549 2
40981 551 2
40981 552 2
40981 554 2
40981 556 2
40981 564 2
40981 565 2
40981 567 2
40981 572 2
40981 574 2
40981 575 2
40981 576 2
40981 581 2
40981 594 2
40981 598 2
40981 599 2
40981 611 2
40981 612 2
40981 620 2
40981 626 2
40981 633 2
40981 640 2
40981 641 2
40981 642 2
40981 651 2
40981 655 2
40981 670 2
40981 684 2
40981 1 3
40981 3 3
40981 16 3
40981 18 3
40981 28 3
40981 31 3
40981 37 3
40981 40 3
40981 46 3
40981 47 3
40981 55 3
40981 56 3
40981 66 3
40981 67 3
40981 76 3
40981 80 3
40981 84 3
40981 85 3
40981 95 3
40981 98 3
40981 100 3
40981 105 3
40981 110 3
40981 134 3
40981 135 3
40981 137 3
40981 141 3
40981 142 3
40981 153 3
40981 157 3
40981 162 3
40981 168 3
40981 175 3
40981 177 3
40981 183 3
40981 188 3
40981 190 3
40981 194 3
40981 195 3
40981 197 3
40981 201 3
40981 219 3
40981 220 3
40981 223 3
40981 227 3
40981 233 3
40981 234 3
40981 239 3
40981 241 3
40981 243 3
40981 248 3
40981 249 3
40981 252 3
40981 254 3
40981 263 3
40981 268 3
40981 275 3
40981 276 3
40981 277 3
40981 296 3
40981 297 3
40981 306 3
40981 308 3
40981 313 3
40981 330 3
40981 353 3
40981 360 3
40981 363 3
40981 366 3
40981 367 3
40981 375 3
40981 378 3
40981 387 3
40981 391 3
40981 398 3
40981 406 3
40981 410 3
40981 412 3
40981 415 3
40981 418 3
40981 421 3
40981 423 3
40981 428 3
40981 431 3
40981 433 3
40981 441 3
40981 457 3
40981 462 3
40981 464 3
40981 466 3
40981 470 3
40981 471 3
40981 476 3
40981 482 3
40981 486 3
40981 489 3
40981 494 3
40981 500 3
40981 502 3
40981 508 3
40981 516 3
40981 522 3
40981 523 3
40981 524 3
40981 526 3
40981 541 3
40981 543 3
40981 545 3
40981 562 3
40981 573 3
40981 583 3
40981 585 3
40981 587 3
40981 592 3
40981 601 3
40981 603 3
40981 605 3
40981 607 3
40981 608 3
40981 610 3
40981 613 3
40981 617 3
40981 618 3
40981 630 3
40981 647 3
40981 649 3
40981 652 3
40981 656 3
40981 659 3
40981 662 3
40981 664 3
40981 667 3
40981 674 3
40981 677 3
40981 679 3
40981 683 3
40981 687 3
40981 688 3
40981 9 4
40981 15 4
40981 17 4
40981 19 4
40981 21 4
40981 23 4
40981 25 4
40981 29 4
40981 35 4
40981 41 4
40981 43 4
40981 65 4
40981 69 4
40981 71 4
40981 77 4
40981 81 4
40981 82 4
40981 89 4
40981 91 4
40981 92 4
40981 97 4
40981 103 4
40981 117 4
40981 121 4
40981 124 4
40981 125 4
40981 127 4
40981 130 4
40981 131 4
40981 150 4
40981 151 4
40981 152 4
40981 155 4
40981 156 4
40981 160 4
40981 164 4
40981 172 4
40981 176 4
40981 181 4
40981 189 4
40981 191 4
40981 196 4
40981 204 4
40981 208 4
40981 209 4
40981 211 4
40981 224 4
40981 226 4
40981 235 4
40981 236 4
40981 245 4
40981 247 4
40981 251 4
40981 257 4
40981 264 4
40981 271 4
40981 282 4
40981 285 4
40981 287 4
40981 307 4
40981 310 4
40981 312 4
40981 314 4
40981 317 4
40981 321 4
40981 322 4
40981 329 4
40981 332 4
40981 334 4
40981 338 4
40981 340 4
40981 345 4
40981 346 4
40981 348 4
40981 351 4
40981 354 4
40981 362 4
40981 365 4
40981 368 4
40981 376 4
40981 384 4
40981 385 4
40981 392 4
40981 396 4
40981 426 4
